epoch,train_loss,train_cls,train_disp,val_loss,val_cls,val_disp,P@1,R@1,F1@1,P@2,R@2,F1@2,P@3,R@3,F1@3,GT,Pred,best_F1@1,train_s,eval_s,lr
1,0.153427,0.053703,9.972373,0.149437,0.050646,9.879030,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,223,0,0.0000,1.3,0.0,0.000300
2,0.147069,0.049237,9.783184,0.139578,0.044296,9.528151,0.2365,0.3139,0.2697,0.3311,0.4395,0.3776,0.3885,0.5157,0.4432,223,296,0.2697,0.9,0.1,0.000300
3,0.135146,0.044521,9.062557,0.144365,0.043745,10.061985,0.2571,0.4036,0.3141,0.3543,0.5561,0.4328,0.4171,0.6547,0.5096,223,350,0.3141,0.9,0.1,0.000300
4,0.098986,0.034114,6.487210,0.067206,0.026061,4.114511,0.5045,0.5067,0.5056,0.6652,0.6682,0.6667,0.7634,0.7668,0.7651,223,224,0.5056,0.9,0.1,0.000300
5,0.065451,0.025917,3.953361,0.057130,0.023077,3.405301,0.3823,0.5022,0.4341,0.5495,0.7220,0.6240,0.6348,0.8341,0.7209,223,293,0.5056,0.9,0.1,0.000300
6,0.053328,0.023318,3.001035,0.052054,0.020434,3.162041,0.4519,0.4843,0.4675,0.6527,0.6996,0.6753,0.7322,0.7848,0.7576,223,239,0.5056,0.9,0.1,0.000300
7,0.046348,0.020621,2.572708,0.041351,0.017567,2.378453,0.4636,0.5426,0.5000,0.6207,0.7265,0.6694,0.7126,0.8341,0.7686,223,261,0.5056,0.9,0.1,0.000300
8,0.039120,0.018156,2.096432,0.039885,0.018180,2.170568,0.5546,0.5919,0.5727,0.7437,0.7937,0.7679,0.8277,0.8834,0.8547,223,238,0.5727,0.9,0.1,0.000300
9,0.034908,0.016202,1.870643,0.038641,0.018336,2.030574,0.6136,0.6054,0.6095,0.8000,0.7892,0.7946,0.8909,0.8789,0.8849,223,220,0.6095,0.9,0.1,0.000299
10,0.032436,0.015204,1.723182,0.033333,0.014601,1.873162,0.4650,0.5067,0.4850,0.6872,0.7489,0.7167,0.7778,0.8475,0.8112,223,243,0.6095,0.9,0.1,0.000299
11,0.027410,0.013358,1.405138,0.032557,0.013665,1.889190,0.4174,0.4529,0.4344,0.6653,0.7220,0.6925,0.7686,0.8341,0.8000,223,242,0.6095,0.9,0.1,0.000299
12,0.024469,0.012343,1.212552,0.030498,0.013544,1.695403,0.5020,0.5561,0.5277,0.7287,0.8072,0.7660,0.7935,0.8789,0.8340,223,247,0.6095,0.9,0.1,0.000299
13,0.022658,0.011788,1.086981,0.031123,0.013911,1.721251,0.5226,0.5695,0.5451,0.7202,0.7848,0.7511,0.8189,0.8924,0.8541,223,243,0.6095,0.9,0.1,0.000299
14,0.023417,0.012094,1.132310,0.027395,0.012494,1.490107,0.5101,0.5650,0.5362,0.7247,0.8027,0.7617,0.8138,0.9013,0.8553,223,247,0.6095,0.9,0.1,0.000299
15,0.020854,0.011214,0.963982,0.025950,0.012612,1.333830,0.5317,0.6009,0.5642,0.7063,0.7982,0.7495,0.7937,0.8969,0.8421,223,252,0.6095,0.9,0.1,0.000298
