epoch,train_loss,train_cls,train_disp,val_loss,val_cls,val_disp,P@1,R@1,F1@1,P@2,R@2,F1@2,P@3,R@3,F1@3,GT,Pred,best_F1@1,train_s,eval_s,lr
1,0.170971,0.070051,10.092019,0.153139,0.053413,9.972529,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,223,0,0.0000,13.2,0.0,0.000300
2,0.152143,0.052807,9.933600,0.149362,0.050886,9.847651,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,223,0,0.0000,0.4,0.0,0.000300
3,0.146789,0.054483,9.230567,0.115615,0.043138,7.247678,0.2213,0.3632,0.2750,0.3579,0.5874,0.4448,0.4454,0.7309,0.5535,223,366,0.2750,0.4,0.0,0.000300
4,0.088563,0.038879,4.968451,0.067730,0.028775,3.895499,0.2657,0.3991,0.3190,0.3940,0.5919,0.4731,0.4985,0.7489,0.5986,223,335,0.3190,0.4,0.0,0.000300
5,0.053607,0.024982,2.862477,0.045986,0.022245,2.374052,0.2960,0.3677,0.3280,0.4801,0.5964,0.5320,0.6065,0.7534,0.6720,223,277,0.3280,0.4,0.0,0.000300
6,0.039547,0.018946,2.060145,0.037345,0.017930,1.941522,0.3440,0.3857,0.3636,0.5800,0.6502,0.6131,0.7240,0.8117,0.7653,223,250,0.3636,0.4,0.0,0.000300
7,0.031457,0.015726,1.573101,0.031769,0.017653,1.411629,0.3217,0.3722,0.3451,0.5349,0.6188,0.5738,0.6783,0.7848,0.7277,223,258,0.3636,0.4,0.0,0.000300
8,0.027042,0.014003,1.303877,0.029503,0.016652,1.285110,0.2489,0.2646,0.2565,0.4810,0.5112,0.4957,0.6371,0.6771,0.6565,223,237,0.3636,0.4,0.0,0.000300
9,0.023053,0.012600,1.045300,0.027139,0.015057,1.208165,0.2365,0.2556,0.2457,0.4481,0.4843,0.4655,0.6515,0.7040,0.6767,223,241,0.3636,0.4,0.0,0.000299
10,0.021005,0.011857,0.914862,0.029507,0.015685,1.382177,0.1787,0.1883,0.1834,0.3745,0.3946,0.3843,0.6511,0.6861,0.6681,223,235,0.3636,0.4,0.0,0.000299
11,0.019367,0.010674,0.869290,0.027601,0.015248,1.235238,0.1555,0.1659,0.1605,0.3487,0.3722,0.3601,0.5966,0.6368,0.6161,223,238,0.3636,0.4,0.0,0.000299
12,0.017185,0.010032,0.715389,0.026335,0.015024,1.131061,0.1017,0.1076,0.1046,0.3559,0.3767,0.3660,0.5932,0.6278,0.6100,223,236,0.3636,0.4,0.0,0.000299
13,0.015767,0.008991,0.677631,0.029281,0.017385,1.189522,0.1535,0.1570,0.1552,0.3904,0.3991,0.3947,0.5965,0.6099,0.6031,223,228,0.3636,0.4,0.0,0.000299
14,0.015404,0.009227,0.617756,0.027128,0.016554,1.057356,0.1460,0.1480,0.1470,0.3673,0.3722,0.3697,0.5442,0.5516,0.5479,223,226,0.3636,0.4,0.0,0.000299
15,0.013154,0.007881,0.527361,0.022806,0.013054,0.975282,0.1325,0.1390,0.1357,0.3675,0.3857,0.3764,0.5812,0.6099,0.5952,223,234,0.3636,0.4,0.0,0.000298
16,0.011923,0.007215,0.470842,0.024769,0.014680,1.008909,0.1071,0.1076,0.1074,0.2723,0.2735,0.2729,0.5000,0.5022,0.5011,223,224,0.3636,0.4,0.0,0.000298
