epoch,train_loss,train_cls,train_disp,val_loss,val_cls,val_disp,P@1,R@1,F1@1,P@2,R@2,F1@2,P@3,R@3,F1@3,GT,Pred,best_F1@1,train_s,eval_s,lr
1,0.214634,0.115048,9.958615,0.149437,0.050687,9.874971,0.0890,0.0942,0.0915,0.1356,0.1435,0.1394,0.1610,0.1704,0.1656,223,236,0.0915,0.5,0.0,0.000300
2,0.152256,0.054240,9.801579,0.145880,0.048846,9.703419,0.0795,0.1300,0.0986,0.1315,0.2152,0.1633,0.1781,0.2915,0.2211,223,365,0.0986,0.2,0.0,0.000300
3,0.144552,0.048510,9.604235,0.142853,0.047531,9.532233,0.0827,0.0987,0.0900,0.1429,0.1704,0.1554,0.1842,0.2197,0.2004,223,266,0.0986,0.2,0.0,0.000300
4,0.141042,0.047013,9.402927,0.139493,0.047209,9.228473,0.0959,0.1166,0.1053,0.1476,0.1794,0.1619,0.2066,0.2511,0.2267,223,271,0.1053,0.1,0.0,0.000300
5,0.137979,0.046345,9.163320,0.139298,0.048281,9.101732,0.1202,0.1121,0.1160,0.1827,0.1704,0.1763,0.2548,0.2377,0.2459,223,208,0.1160,0.2,0.0,0.000300
6,0.135641,0.045582,9.005979,0.138629,0.050460,8.816908,0.0968,0.0673,0.0794,0.1806,0.1256,0.1481,0.2581,0.1794,0.2116,223,155,0.1160,0.2,0.0,0.000300
7,0.132346,0.044384,8.796132,0.137600,0.048295,8.930510,0.1145,0.1166,0.1156,0.1938,0.1973,0.1956,0.2687,0.2735,0.2711,223,227,0.1160,0.1,0.0,0.000300
8,0.129340,0.043511,8.582912,0.133240,0.046070,8.716953,0.0987,0.1390,0.1155,0.1688,0.2377,0.1974,0.2580,0.3632,0.3017,223,314,0.1160,0.2,0.0,0.000300
9,0.128869,0.044373,8.449607,0.146295,0.052336,9.395921,0.1190,0.0897,0.1023,0.1964,0.1480,0.1688,0.2976,0.2242,0.2558,223,168,0.1160,0.1,0.0,0.000299
10,0.126340,0.043022,8.331844,0.141176,0.046133,9.504308,0.1133,0.1839,0.1402,0.2017,0.3274,0.2496,0.2652,0.4305,0.3282,223,362,0.1402,0.2,0.0,0.000299
11,0.127955,0.043282,8.467289,0.169130,0.060866,10.826349,0.1515,0.0673,0.0932,0.2222,0.0987,0.1366,0.3434,0.1525,0.2112,223,99,0.1402,0.2,0.0,0.000299
12,0.126210,0.043279,8.293093,0.143714,0.046515,9.719944,0.1222,0.1704,0.1423,0.2122,0.2960,0.2472,0.2894,0.4036,0.3371,223,311,0.1423,0.2,0.0,0.000299
13,0.125568,0.043671,8.189734,0.138663,0.051699,8.696438,0.0802,0.0673,0.0732,0.1818,0.1525,0.1659,0.2674,0.2242,0.2439,223,187,0.1423,0.2,0.0,0.000299
14,0.123578,0.042830,8.074797,0.156664,0.053143,10.352083,0.1345,0.1031,0.1168,0.2281,0.1749,0.1980,0.2924,0.2242,0.2538,223,171,0.1423,0.1,0.0,0.000299
15,0.121328,0.042230,7.909874,0.141268,0.052678,8.859042,0.0782,0.0628,0.0697,0.1676,0.1345,0.1493,0.2570,0.2063,0.2289,223,179,0.1423,0.1,0.0,0.000298
16,0.122037,0.042198,7.983941,0.166619,0.050011,11.660875,0.1528,0.1480,0.1503,0.2454,0.2377,0.2415,0.3333,0.3229,0.3280,223,216,0.1503,0.2,0.0,0.000298
17,0.120093,0.041846,7.824712,0.160625,0.056510,10.411453,0.1189,0.0762,0.0929,0.2168,0.1390,0.1694,0.2937,0.1883,0.2295,223,143,0.1503,0.2,0.0,0.000298
18,0.118361,0.041440,7.692008,0.143071,0.047877,9.519389,0.1004,0.1166,0.1079,0.2124,0.2466,0.2282,0.2934,0.3408,0.3154,223,259,0.1503,0.1,0.0,0.000298
19,0.117896,0.041189,7.670704,0.168055,0.057472,11.058275,0.1212,0.0717,0.0901,0.2197,0.1300,0.1634,0.3106,0.1839,0.2310,223,132,0.1503,0.2,0.0,0.000297
20,0.117433,0.041080,7.635286,0.159522,0.055850,10.367209,0.1027,0.0673,0.0813,0.1918,0.1256,0.1518,0.2740,0.1794,0.2168,223,146,0.1503,0.2,0.0,0.000297
21,0.116634,0.040668,7.596639,0.170790,0.059401,11.138915,0.0870,0.0448,0.0592,0.1913,0.0987,0.1302,0.2870,0.1480,0.1953,223,115,0.1503,0.2,0.0,0.000297
22,0.115627,0.040759,7.486788,0.168381,0.058862,10.951820,0.0976,0.0538,0.0694,0.2033,0.1121,0.1445,0.2927,0.1614,0.2081,223,123,0.1503,0.2,0.0,0.000297
23,0.116303,0.041050,7.525250,0.142303,0.045952,9.635130,0.0822,0.1121,0.0949,0.1743,0.2377,0.2011,0.2664,0.3632,0.3074,223,304,0.1503,0.2,0.0,0.000296
24,0.119903,0.041594,7.830830,0.191577,0.069982,12.159521,0.0685,0.0224,0.0338,0.2192,0.0717,0.1081,0.3288,0.1076,0.1622,223,73,0.1503,0.2,0.0,0.000296
25,0.122680,0.044658,7.802219,0.166029,0.057481,10.854771,0.1000,0.0583,0.0737,0.2077,0.1211,0.1530,0.2769,0.1614,0.2040,223,130,0.1503,0.2,0.0,0.000295
26,0.114400,0.040932,7.346780,0.163463,0.050027,11.343630,0.1302,0.1256,0.1279,0.2140,0.2063,0.2100,0.3256,0.3139,0.3196,223,215,0.1503,0.2,0.0,0.000295
