epoch,train_loss,train_cls,train_disp,val_loss,val_cls,val_disp,P@1,R@1,F1@1,P@2,R@2,F1@2,P@3,R@3,F1@3,GT,Pred,best_F1@1,train_s,eval_s,lr
1,0.162434,0.062286,10.014783,0.153683,0.053848,9.983468,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,223,0,0.0000,13.5,0.0,0.000300
2,0.153307,0.053499,9.980784,0.153589,0.053902,9.968741,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,223,0,0.0000,0.3,0.0,0.000300
3,0.152936,0.053472,9.946430,0.153030,0.053334,9.969638,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,223,0,0.0000,0.3,0.0,0.000300
4,0.151200,0.052224,9.897511,0.153932,0.057098,9.683391,0.0764,0.2422,0.1161,0.1132,0.3587,0.1720,0.1542,0.4888,0.2344,223,707,0.1161,0.3,0.0,0.000300
5,0.154926,0.059166,9.575998,0.145108,0.053552,9.155640,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,223,0,0.1161,0.3,0.0,0.000300
6,0.136963,0.053029,8.393352,0.119439,0.051596,6.784233,0.0704,0.0224,0.0340,0.1268,0.0404,0.0612,0.2113,0.0673,0.1020,223,71,0.1161,0.3,0.0,0.000300
7,0.103703,0.045625,5.807762,0.105850,0.045433,6.041674,0.2816,0.2601,0.2704,0.4369,0.4036,0.4196,0.5825,0.5381,0.5594,223,206,0.2704,0.3,0.0,0.000300
8,0.089028,0.039172,4.985625,0.092473,0.037722,5.475127,0.2341,0.3632,0.2847,0.3728,0.5785,0.4534,0.4451,0.6906,0.5413,223,346,0.2847,0.3,0.0,0.000300
9,0.082133,0.038328,4.380475,0.085480,0.037167,4.831236,0.1451,0.2108,0.1718,0.2562,0.3722,0.3035,0.3673,0.5336,0.4351,223,324,0.2847,0.3,0.0,0.000299
10,0.073610,0.035856,3.775426,0.084922,0.036715,4.820775,0.2451,0.3363,0.2836,0.3627,0.4978,0.4197,0.4314,0.5919,0.4991,223,306,0.2847,0.3,0.0,0.000299
11,0.064765,0.032544,3.222155,0.096798,0.037941,5.885703,0.1525,0.1614,0.1569,0.2754,0.2915,0.2832,0.3517,0.3722,0.3617,223,236,0.2847,0.3,0.0,0.000299
12,0.058574,0.030614,2.796009,0.083494,0.036087,4.740687,0.1304,0.1614,0.1443,0.2246,0.2780,0.2485,0.3551,0.4395,0.3928,223,276,0.2847,0.3,0.0,0.000299
13,0.051375,0.027899,2.347641,0.086030,0.040598,4.543199,0.1774,0.1973,0.1868,0.3266,0.3632,0.3439,0.4919,0.5471,0.5180,223,248,0.2847,0.3,0.0,0.000299
14,0.043625,0.024254,1.937106,0.087776,0.042554,4.522157,0.1708,0.1839,0.1771,0.2833,0.3049,0.2937,0.4208,0.4529,0.4363,223,240,0.2847,0.3,0.0,0.000299
15,0.039090,0.022483,1.660717,0.085181,0.040079,4.510207,0.1111,0.1211,0.1159,0.2593,0.2825,0.2704,0.3498,0.3812,0.3648,223,243,0.2847,0.3,0.0,0.000298
