epoch,train_loss,train_cls,train_disp,val_loss,val_cls,val_disp,P@1,R@1,F1@1,P@2,R@2,F1@2,P@3,R@3,F1@3,GT,Pred,best_F1@1,train_s,eval_s,lr
1,0.172547,0.072216,10.033085,0.152228,0.052892,9.933593,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,223,0,0.0000,0.7,0.0,0.000300
2,0.149616,0.051651,9.796548,0.145135,0.049708,9.542691,0.1111,0.0045,0.0086,0.2222,0.0090,0.0172,0.4444,0.0179,0.0345,223,9,0.0086,0.2,0.0,0.000300
3,0.131878,0.047297,8.458096,0.100453,0.041781,5.867173,0.1059,0.1525,0.1250,0.1900,0.2735,0.2243,0.3302,0.4753,0.3897,223,321,0.1250,0.2,0.0,0.000300
4,0.076866,0.036327,4.053952,0.068346,0.028860,3.948540,0.2493,0.3991,0.3069,0.4118,0.6592,0.5069,0.4902,0.7848,0.6034,223,357,0.3069,0.2,0.0,0.000300
5,0.058068,0.028006,3.006195,0.066548,0.029831,3.671708,0.3065,0.2735,0.2891,0.5327,0.4753,0.5024,0.6683,0.5964,0.6303,223,199,0.3069,0.2,0.0,0.000300
6,0.048654,0.024328,2.432545,0.053648,0.024539,2.910843,0.3213,0.3587,0.3390,0.5422,0.6054,0.5720,0.6546,0.7309,0.6907,223,249,0.3390,0.2,0.0,0.000300
7,0.043721,0.023183,2.053751,0.051806,0.024428,2.737733,0.3130,0.3677,0.3381,0.4885,0.5740,0.5278,0.6183,0.7265,0.6680,223,262,0.3390,0.2,0.0,0.000300
8,0.037007,0.019805,1.720210,0.044793,0.020937,2.385561,0.2896,0.3363,0.3112,0.5560,0.6457,0.5975,0.6409,0.7444,0.6888,223,259,0.3390,0.2,0.0,0.000300
9,0.034693,0.019094,1.559901,0.049578,0.025715,2.386291,0.1947,0.1973,0.1960,0.3584,0.3632,0.3608,0.5221,0.5291,0.5256,223,226,0.3390,0.2,0.0,0.000299
10,0.030033,0.016709,1.332458,0.043194,0.021516,2.167790,0.3663,0.3991,0.3820,0.5967,0.6502,0.6223,0.6831,0.7444,0.7124,223,243,0.3820,0.2,0.0,0.000299
11,0.025475,0.014375,1.110038,0.045177,0.022642,2.253499,0.4115,0.4170,0.4143,0.6327,0.6413,0.6370,0.7345,0.7444,0.7394,223,226,0.4143,0.2,0.0,0.000299
12,0.022647,0.013215,0.943243,0.043466,0.021494,2.197185,0.3515,0.3767,0.3636,0.5607,0.6009,0.5801,0.6904,0.7399,0.7143,223,239,0.4143,0.2,0.0,0.000299
13,0.020462,0.012211,0.825140,0.048252,0.023920,2.433185,0.3211,0.3543,0.3369,0.5244,0.5785,0.5501,0.6545,0.7220,0.6866,223,246,0.4143,0.2,0.0,0.000299
14,0.020210,0.011884,0.832564,0.049016,0.025146,2.386986,0.3515,0.3767,0.3636,0.5523,0.5919,0.5714,0.6695,0.7175,0.6926,223,239,0.4143,0.2,0.0,0.000299
15,0.018852,0.011824,0.702736,0.048776,0.024953,2.382251,0.2863,0.3094,0.2974,0.4689,0.5067,0.4871,0.6224,0.6726,0.6466,223,241,0.4143,0.2,0.0,0.000298
16,0.017608,0.010749,0.685868,0.048498,0.025623,2.287527,0.3195,0.3453,0.3319,0.4938,0.5336,0.5129,0.6390,0.6906,0.6638,223,241,0.4143,0.2,0.0,0.000298
17,0.016228,0.010058,0.616943,0.049120,0.026761,2.235899,0.4416,0.4574,0.4493,0.6234,0.6457,0.6344,0.7273,0.7534,0.7401,223,231,0.4493,0.2,0.0,0.000298
18,0.014910,0.008921,0.598889,0.052447,0.027721,2.472600,0.2680,0.3004,0.2833,0.4560,0.5112,0.4820,0.5840,0.6547,0.6173,223,250,0.4493,0.2,0.0,0.000298
19,0.014418,0.008836,0.558178,0.058545,0.032142,2.640383,0.2816,0.3094,0.2949,0.4816,0.5291,0.5043,0.6286,0.6906,0.6581,223,245,0.4493,0.2,0.0,0.000297
20,0.013004,0.007881,0.512373,0.051944,0.027536,2.440797,0.3670,0.4395,0.4000,0.5468,0.6547,0.5959,0.6404,0.7668,0.6980,223,267,0.4493,0.2,0.0,0.000297
21,0.011542,0.007151,0.439112,0.063157,0.035907,2.725022,0.4335,0.4529,0.4430,0.6052,0.6323,0.6184,0.7124,0.7444,0.7281,223,233,0.4493,0.2,0.0,0.000297
22,0.010643,0.006725,0.391830,0.062493,0.036269,2.622412,0.3915,0.4126,0.4017,0.5489,0.5785,0.5633,0.6894,0.7265,0.7074,223,235,0.4493,0.2,0.0,0.000297
23,0.010343,0.006443,0.389951,0.061198,0.034682,2.651613,0.3855,0.4305,0.4068,0.5582,0.6233,0.5890,0.6707,0.7489,0.7076,223,249,0.4493,0.2,0.0,0.000296
24,0.009639,0.006022,0.361657,0.064677,0.039314,2.536270,0.4279,0.4395,0.4336,0.6114,0.6278,0.6195,0.7336,0.7534,0.7434,223,229,0.4493,0.2,0.0,0.000296
25,0.009720,0.006086,0.363406,0.069972,0.042912,2.706041,0.2641,0.2735,0.2687,0.4502,0.4664,0.4581,0.5844,0.6054,0.5947,223,231,0.4493,0.2,0.0,0.000295
26,0.009645,0.006052,0.359314,0.088322,0.061287,2.703563,0.3299,0.2870,0.3070,0.5052,0.4395,0.4700,0.6753,0.5874,0.6283,223,194,0.4493,0.2,0.0,0.000295
27,0.011969,0.007723,0.424587,0.069203,0.040569,2.863363,0.4784,0.4978,0.4879,0.6552,0.6816,0.6681,0.7371,0.7668,0.7516,223,232,0.4879,0.2,0.0,0.000295
28,0.013880,0.009066,0.481350,0.063362,0.039712,2.364942,0.3981,0.3857,0.3918,0.5880,0.5695,0.5786,0.7269,0.7040,0.7153,223,216,0.4879,0.3,0.0,0.000294
29,0.012789,0.007518,0.527023,0.070455,0.044582,2.587272,0.3937,0.3901,0.3919,0.5973,0.5919,0.5946,0.7285,0.7220,0.7252,223,221,0.4879,0.2,0.0,0.000294
30,0.008956,0.005627,0.332950,0.071987,0.044586,2.740085,0.2996,0.3184,0.3087,0.4726,0.5022,0.4870,0.6287,0.6682,0.6478,223,237,0.4879,0.2,0.0,0.000293
31,0.007705,0.004620,0.308462,0.089628,0.063076,2.655159,0.3850,0.3453,0.3641,0.5650,0.5067,0.5343,0.6900,0.6188,0.6525,223,200,0.4879,0.2,0.0,0.000293
32,0.007623,0.004551,0.307199,0.097182,0.067601,2.958074,0.3781,0.3408,0.3585,0.5721,0.5157,0.5425,0.7015,0.6323,0.6651,223,201,0.4879,0.2,0.0,0.000292
33,0.006739,0.004125,0.261403,0.092820,0.065940,2.687912,0.3558,0.3318,0.3434,0.5433,0.5067,0.5244,0.6827,0.6368,0.6589,223,208,0.4879,0.2,0.0,0.000292
34,0.005526,0.003371,0.215482,0.094179,0.067043,2.713602,0.2919,0.2735,0.2824,0.5120,0.4798,0.4954,0.6507,0.6099,0.6296,223,209,0.4879,0.2,0.0,0.000291
35,0.006803,0.004465,0.233790,0.078309,0.051171,2.713852,0.3233,0.3363,0.3297,0.4957,0.5157,0.5055,0.6379,0.6637,0.6505,223,232,0.4879,0.2,0.0,0.000291
36,0.006906,0.004378,0.252819,0.103512,0.073993,2.951893,0.3384,0.3004,0.3183,0.5354,0.4753,0.5036,0.6566,0.5830,0.6176,223,198,0.4879,0.2,0.0,0.000290
37,0.005550,0.003395,0.215464,0.107222,0.077120,3.010207,0.3750,0.3632,0.3690,0.5324,0.5157,0.5239,0.6713,0.6502,0.6606,223,216,0.4879,0.2,0.0,0.000290
38,0.005997,0.003806,0.219128,0.092567,0.063704,2.886336,0.3884,0.3901,0.3893,0.5357,0.5381,0.5369,0.6741,0.6771,0.6756,223,224,0.4879,0.2,0.0,0.000289
