epoch,train_loss,train_cls,train_disp,val_loss,val_cls,val_disp,P@1,R@1,F1@1,P@2,R@2,F1@2,P@3,R@3,F1@3,GT,Pred,best_F1@1,train_s,eval_s,lr
1,0.332776,0.232665,10.011047,0.158553,0.058687,9.986609,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,223,0,0.0000,1.5,0.0,0.000300
2,0.156173,0.056111,10.006241,0.153887,0.054052,9.983522,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,223,0,0.0000,1.1,0.0,0.000300
3,0.154337,0.054298,10.003844,0.154485,0.054687,9.979853,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,223,0,0.0000,1.1,0.0,0.000300
4,0.153981,0.054021,9.995942,0.154157,0.054418,9.973967,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,223,0,0.0000,1.1,0.0,0.000300
5,0.153383,0.053493,9.988968,0.153174,0.053615,9.955956,0.0909,0.0045,0.0085,0.0909,0.0045,0.0085,0.1818,0.0090,0.0171,223,11,0.0085,1.1,0.0,0.000300
6,0.153931,0.054307,9.962404,0.151194,0.050509,10.068495,0.0625,0.0404,0.0490,0.1181,0.0762,0.0926,0.1806,0.1166,0.1417,223,144,0.0490,1.1,0.0,0.000300
7,0.154232,0.053499,10.073270,0.153156,0.053639,9.951779,0.0132,0.0045,0.0067,0.0263,0.0090,0.0134,0.0658,0.0224,0.0334,223,76,0.0490,1.1,0.0,0.000300
8,0.150711,0.051456,9.925506,0.147657,0.049590,9.806776,0.0874,0.0717,0.0788,0.1475,0.1211,0.1330,0.2022,0.1659,0.1823,223,183,0.0788,1.1,0.0,0.000300
9,0.144914,0.048608,9.630589,0.141592,0.047826,9.376567,0.0872,0.1166,0.0998,0.1477,0.1973,0.1689,0.2114,0.2825,0.2418,223,298,0.0998,1.1,0.0,0.000299
10,0.137539,0.045251,9.228879,0.134512,0.047271,8.724084,0.1250,0.1121,0.1182,0.2050,0.1839,0.1939,0.2800,0.2511,0.2648,223,200,0.1182,1.1,0.0,0.000299
11,0.132691,0.046202,8.648880,0.134805,0.050033,8.477166,0.0732,0.0538,0.0620,0.1524,0.1121,0.1292,0.2256,0.1659,0.1912,223,164,0.1182,1.1,0.0,0.000299
12,0.125751,0.046392,7.935852,0.127068,0.046166,8.090230,0.0699,0.1211,0.0887,0.1140,0.1973,0.1445,0.1736,0.3004,0.2200,223,386,0.1182,1.1,0.0,0.000299
13,0.115951,0.043259,7.269181,0.131420,0.046400,8.501973,0.0824,0.0987,0.0898,0.1273,0.1525,0.1388,0.1723,0.2063,0.1878,223,267,0.1182,1.1,0.0,0.000299
14,0.109948,0.042066,6.788221,0.130344,0.046377,8.396716,0.0881,0.1300,0.1051,0.1398,0.2063,0.1667,0.1884,0.2780,0.2246,223,329,0.1182,1.1,0.0,0.000299
15,0.105337,0.040802,6.453454,0.138566,0.046013,9.255300,0.0551,0.0987,0.0707,0.0927,0.1659,0.1190,0.1353,0.2422,0.1736,223,399,0.1182,1.1,0.0,0.000298
16,0.103104,0.040356,6.274756,0.145728,0.045973,9.975479,0.0678,0.1031,0.0819,0.1180,0.1794,0.1423,0.1947,0.2960,0.2349,223,339,0.1182,1.1,0.0,0.000298
17,0.099838,0.039648,6.018977,0.143052,0.046168,9.688426,0.0590,0.0762,0.0665,0.0938,0.1211,0.1057,0.1771,0.2287,0.1996,223,288,0.1182,1.1,0.0,0.000298
18,0.096045,0.038064,5.798139,0.127846,0.043377,8.446907,0.0804,0.1121,0.0936,0.1511,0.2108,0.1760,0.2186,0.3049,0.2547,223,311,0.1182,1.1,0.0,0.000298
19,0.093238,0.037007,5.623113,0.140552,0.044778,9.577361,0.0771,0.1300,0.0968,0.1250,0.2108,0.1569,0.2128,0.3587,0.2671,223,376,0.1182,1.1,0.0,0.000297
20,0.090195,0.036423,5.377151,0.129049,0.045013,8.403591,0.0927,0.1704,0.1201,0.1585,0.2915,0.2054,0.2244,0.4126,0.2907,223,410,0.1201,1.1,0.0,0.000297
21,0.088983,0.036787,5.219553,0.146304,0.044980,10.132336,0.0822,0.1390,0.1033,0.1645,0.2780,0.2067,0.2520,0.4260,0.3167,223,377,0.1201,1.1,0.0,0.000297
22,0.089241,0.037203,5.203816,0.136370,0.042825,9.354519,0.1135,0.1928,0.1429,0.2032,0.3453,0.2558,0.2955,0.5022,0.3721,223,379,0.1429,1.1,0.0,0.000297
23,0.085358,0.035413,4.994495,0.137261,0.043082,9.417905,0.1316,0.1794,0.1518,0.2072,0.2825,0.2391,0.2928,0.3991,0.3378,223,304,0.1518,1.1,0.0,0.000296
24,0.085698,0.034995,5.070266,0.126366,0.043420,8.294611,0.0892,0.1256,0.1043,0.1592,0.2242,0.1862,0.2675,0.3767,0.3128,223,314,0.1518,1.1,0.0,0.000296
25,0.081076,0.034853,4.622354,0.148400,0.043472,10.492820,0.0879,0.1300,0.1049,0.2030,0.3004,0.2423,0.2970,0.4395,0.3544,223,330,0.1518,1.4,0.0,0.000295
26,0.078894,0.033782,4.511271,0.140906,0.047765,9.314053,0.0939,0.1300,0.1090,0.1877,0.2601,0.2180,0.2621,0.3632,0.3045,223,309,0.1518,1.1,0.0,0.000295
27,0.075944,0.033557,4.238687,0.140830,0.044116,9.671388,0.1165,0.1928,0.1453,0.1951,0.3229,0.2432,0.2927,0.4843,0.3649,223,369,0.1518,1.1,0.0,0.000295
28,0.078126,0.033276,4.485061,0.140518,0.048079,9.243824,0.1424,0.1928,0.1638,0.2252,0.3049,0.2590,0.3146,0.4260,0.3619,223,302,0.1638,1.1,0.0,0.000294
29,0.073691,0.033065,4.062651,0.143693,0.046612,9.708095,0.1255,0.1525,0.1377,0.2325,0.2825,0.2551,0.3173,0.3857,0.3482,223,271,0.1638,1.1,0.0,0.000294
30,0.070678,0.031917,3.876102,0.157896,0.048103,10.979333,0.1262,0.1749,0.1466,0.2362,0.3274,0.2744,0.3204,0.4439,0.3722,223,309,0.1638,1.1,0.0,0.000293
31,0.072532,0.032361,4.017120,0.155293,0.049612,10.568142,0.1320,0.1480,0.1395,0.2040,0.2287,0.2156,0.3120,0.3498,0.3298,223,250,0.1638,1.1,0.0,0.000293
32,0.068201,0.032011,3.618965,0.150973,0.048609,10.236378,0.1451,0.2063,0.1704,0.2366,0.3363,0.2778,0.3060,0.4350,0.3593,223,317,0.1704,1.1,0.0,0.000292
33,0.066433,0.031116,3.531682,0.149855,0.050234,9.962193,0.1028,0.1480,0.1213,0.1776,0.2556,0.2096,0.2586,0.3722,0.3051,223,321,0.1704,1.1,0.0,0.000292
34,0.068226,0.031192,3.703383,0.164657,0.052775,11.188175,0.1442,0.2108,0.1712,0.2454,0.3587,0.2914,0.3405,0.4978,0.4044,223,326,0.1712,1.1,0.0,0.000291
35,0.065793,0.030529,3.526437,0.170087,0.053521,11.656551,0.1018,0.1300,0.1142,0.2070,0.2646,0.2323,0.3018,0.3857,0.3386,223,285,0.1712,1.1,0.0,0.000291
36,0.061827,0.030092,3.173498,0.160449,0.056288,10.416091,0.1173,0.1704,0.1389,0.1790,0.2601,0.2121,0.2531,0.3677,0.2998,223,324,0.1712,1.1,0.0,0.000290
37,0.070675,0.032303,3.837203,0.176369,0.061348,11.502080,0.2000,0.0852,0.1195,0.3263,0.1390,0.1950,0.4211,0.1794,0.2516,223,95,0.1712,1.1,0.0,0.000290
38,0.081019,0.038346,4.267289,0.155267,0.050251,10.501612,0.0939,0.1390,0.1121,0.1818,0.2691,0.2170,0.2727,0.4036,0.3255,223,330,0.1712,1.1,0.0,0.000289
39,0.066712,0.031825,3.488670,0.168538,0.062948,10.559052,0.1586,0.1614,0.1600,0.2643,0.2691,0.2667,0.3656,0.3722,0.3689,223,227,0.1712,1.1,0.0,0.000289
40,0.059356,0.029507,2.984856,0.167717,0.065048,10.266871,0.1453,0.1883,0.1641,0.2215,0.2870,0.2500,0.3391,0.4395,0.3828,223,289,0.1712,1.1,0.0,0.000288
41,0.057711,0.029245,2.846623,0.170515,0.049795,12.072007,0.1120,0.1839,0.1392,0.2077,0.3408,0.2581,0.2650,0.4350,0.3294,223,366,0.1712,1.1,0.0,0.000287
42,0.056600,0.028349,2.825100,0.181995,0.063014,11.898036,0.1046,0.1435,0.1210,0.1895,0.2601,0.2193,0.2647,0.3632,0.3062,223,306,0.1712,1.1,0.0,0.000287
43,0.052630,0.027454,2.517599,0.186580,0.064819,12.176095,0.1107,0.1435,0.1250,0.1592,0.2063,0.1797,0.2595,0.3363,0.2930,223,289,0.1712,1.1,0.0,0.000286
44,0.047888,0.026332,2.155618,0.182531,0.065851,11.668047,0.0788,0.1166,0.0940,0.1667,0.2466,0.1989,0.2273,0.3363,0.2712,223,330,0.1712,1.1,0.0,0.000286
45,0.043906,0.024816,1.909022,0.178155,0.063441,11.471422,0.0829,0.1390,0.1039,0.1551,0.2601,0.1943,0.2219,0.3722,0.2781,223,374,0.1712,1.1,0.0,0.000285
46,0.042918,0.024893,1.802515,0.183155,0.071698,11.145666,0.0968,0.1345,0.1126,0.1871,0.2601,0.2176,0.2871,0.3991,0.3340,223,310,0.1712,1.1,0.0,0.000284
47,0.041680,0.024010,1.767009,0.201974,0.072111,12.986302,0.0957,0.1390,0.1133,0.1821,0.2646,0.2157,0.2500,0.3632,0.2962,223,324,0.1712,1.1,0.0,0.000283
48,0.038813,0.022755,1.605819,0.178964,0.066917,11.204709,0.0906,0.1256,0.1053,0.1683,0.2332,0.1955,0.2492,0.3453,0.2895,223,309,0.1712,1.1,0.0,0.000283
49,0.037328,0.022291,1.503766,0.206925,0.093196,11.372886,0.0992,0.1166,0.1072,0.1756,0.2063,0.1897,0.2710,0.3184,0.2928,223,262,0.1712,1.1,0.0,0.000282
50,0.035543,0.021230,1.431321,0.198943,0.079599,11.934398,0.1125,0.1570,0.1311,0.1897,0.2646,0.2210,0.2701,0.3767,0.3146,223,311,0.1712,1.1,0.0,0.000281
51,0.037360,0.022755,1.460497,0.202862,0.082327,12.053555,0.1089,0.1480,0.1255,0.2079,0.2825,0.2395,0.2805,0.3812,0.3232,223,303,0.1712,1.1,0.0,0.000281
52,0.040699,0.024618,1.608100,0.173894,0.066082,10.781202,0.0791,0.1256,0.0971,0.1667,0.2646,0.2045,0.2373,0.3767,0.2912,223,354,0.1712,1.1,0.0,0.000280
53,0.038799,0.022333,1.646534,0.204280,0.090009,11.427188,0.1047,0.1300,0.1160,0.1913,0.2377,0.2120,0.2780,0.3453,0.3080,223,277,0.1712,1.1,0.0,0.000279
54,0.038503,0.022442,1.606110,0.187174,0.080512,10.666197,0.1205,0.1794,0.1441,0.1807,0.2691,0.2162,0.2530,0.3767,0.3027,223,332,0.1712,1.1,0.0,0.000278
55,0.036448,0.021452,1.499577,0.199493,0.080620,11.887224,0.1262,0.1839,0.1496,0.2338,0.3408,0.2774,0.3015,0.4395,0.3577,223,325,0.1712,1.1,0.0,0.000277
56,0.031965,0.019453,1.251154,0.213288,0.101843,11.144425,0.1040,0.1390,0.1190,0.2013,0.2691,0.2303,0.2718,0.3632,0.3109,223,298,0.1712,1.1,0.0,0.000277
57,0.031110,0.018996,1.211354,0.215597,0.094744,12.085225,0.0925,0.1211,0.1049,0.1849,0.2422,0.2097,0.2671,0.3498,0.3029,223,292,0.1712,1.1,0.0,0.000276
58,0.032422,0.019398,1.302398,0.208882,0.081995,12.688672,0.0876,0.1390,0.1075,0.1667,0.2646,0.2045,0.2514,0.3991,0.3085,223,354,0.1712,1.1,0.0,0.000275
59,0.031297,0.019475,1.182173,0.214140,0.105521,10.861849,0.1156,0.1525,0.1315,0.1973,0.2601,0.2244,0.2619,0.3453,0.2979,223,294,0.1712,1.1,0.0,0.000274
60,0.027076,0.016922,1.015425,0.220484,0.108760,11.172354,0.0958,0.1121,0.1033,0.2031,0.2377,0.2190,0.2644,0.3094,0.2851,223,261,0.1712,1.1,0.0,0.000273
61,0.025793,0.015866,0.992656,0.250939,0.134922,11.601713,0.1211,0.1211,0.1211,0.2152,0.2152,0.2152,0.3094,0.3094,0.3094,223,223,0.1712,1.1,0.0,0.000272
62,0.023842,0.015029,0.881287,0.223700,0.110078,11.362113,0.1058,0.1480,0.1234,0.1699,0.2377,0.1981,0.2340,0.3274,0.2729,223,312,0.1712,1.1,0.0,0.000271
63,0.022718,0.014277,0.844104,0.257001,0.141238,11.576318,0.0947,0.1031,0.0987,0.1934,0.2108,0.2017,0.2922,0.3184,0.3047,223,243,0.1712,1.1,0.0,0.000270
64,0.021173,0.013300,0.787328,0.235410,0.124786,11.062410,0.0879,0.1211,0.1019,0.1596,0.2197,0.1849,0.2508,0.3453,0.2906,223,307,0.1712,1.1,0.0,0.000270
65,0.019198,0.011948,0.724970,0.258820,0.149078,10.974184,0.1197,0.1390,0.1286,0.1969,0.2287,0.2116,0.2819,0.3274,0.3029,223,259,0.1712,1.2,0.0,0.000269
66,0.018896,0.011718,0.717732,0.254731,0.138106,11.662515,0.1284,0.1704,0.1464,0.2061,0.2735,0.2351,0.2635,0.3498,0.3006,223,296,0.1712,1.1,0.0,0.000268
67,0.016758,0.010318,0.644027,0.265462,0.158254,10.720874,0.1163,0.1345,0.1247,0.1938,0.2242,0.2079,0.2752,0.3184,0.2952,223,258,0.1712,1.1,0.0,0.000267
68,0.017770,0.010944,0.682555,0.271555,0.155567,11.598783,0.1008,0.1166,0.1081,0.1744,0.2018,0.1871,0.2636,0.3049,0.2827,223,258,0.1712,1.1,0.0,0.000266
69,0.017752,0.011005,0.674763,0.254516,0.140644,11.387179,0.1023,0.1211,0.1109,0.1970,0.2332,0.2136,0.2765,0.3274,0.2998,223,264,0.1712,1.1,0.0,0.000265
70,0.016595,0.009960,0.663527,0.283885,0.166327,11.755773,0.1127,0.1390,0.1245,0.1564,0.1928,0.1727,0.2655,0.3274,0.2932,223,275,0.1712,1.1,0.0,0.000264
71,0.015484,0.008999,0.648487,0.277130,0.166620,11.051045,0.1115,0.1435,0.1255,0.1812,0.2332,0.2039,0.2648,0.3408,0.2980,223,287,0.1712,1.1,0.0,0.000263
72,0.013536,0.007800,0.573570,0.312145,0.208811,10.333363,0.1435,0.1525,0.1478,0.2236,0.2377,0.2304,0.3080,0.3274,0.3174,223,237,0.1712,1.1,0.0,0.000262
73,0.014395,0.008559,0.583579,0.333413,0.222970,11.044243,0.1330,0.1121,0.1217,0.2340,0.1973,0.2141,0.3191,0.2691,0.2920,223,188,0.1712,1.1,0.0,0.000261
74,0.018443,0.011513,0.693020,0.300056,0.188299,11.175663,0.1364,0.1480,0.1419,0.2025,0.2197,0.2108,0.3223,0.3498,0.3355,223,242,0.1712,1.1,0.0,0.000260
75,0.024305,0.015415,0.888932,0.205339,0.098548,10.679168,0.1097,0.1570,0.1292,0.1944,0.2780,0.2288,0.2539,0.3632,0.2989,223,319,0.1712,1.1,0.0,0.000259
76,0.021576,0.012725,0.885125,0.230207,0.119465,11.074268,0.1163,0.1570,0.1336,0.1993,0.2691,0.2290,0.2691,0.3632,0.3092,223,301,0.1712,1.1,0.0,0.000258
